Voltage (V),Current (A),Power (W)
8.204491,0.0,0.0
8.204491,0.0,0.0
8.204491,0.0,0.0
8.204491,0.0,0.0
0.039847,0.0,0.0
1.642852,0.0,0.0
4.903186,0.0,0.0
4.903186,0.0,0.0
4.903186,0.0,0.0
0.04296,3.992085,0.1714999716
0.170852,0.0,0.0
4.901347,0.0,0.0
4.901347,0.0,0.0
4.901347,0.0,0.0
4.901347,0.0,0.0
0.687873,6.066822,4.173203049606
0.722692,5.858316,4.233758106672
0.776336,5.546726,4.306123075936
0.81867,5.314253,4.35061950351
0.858929,5.091277,4.373045462333
0.90365,4.891348,4.420066620199999
0.929575,4.768165,4.432366979875
0.96936,4.582857,4.4424382615199995
1.004268,4.446005,4.46498054934
1.041977,4.291543,4.471689100511
1.076203,4.160825,4.477892347475
1.096347,4.085431,4.479050020557
1.139793,3.958444,4.511806762092
1.171425,3.843021,4.501810874925
1.206852,3.747905,4.52316664506
1.224224,3.684018,4.510063252032
1.253558,3.581984,4.490224699072
1.282611,3.495348,4.483171793627999
1.315741,3.406326,4.481842777566
1.337589,3.359088,4.493079158832
1.367146,3.276144,4.478967165024
1.392834,3.211297,4.472803645698
1.4183,3.154282,4.4737181606
1.446864,3.084038,4.462183556832
1.469765,3.054193,4.4889459746450004
1.490398,2.98342,4.4464832011599995
1.514204,2.929696,4.436157401984
1.53294,2.87727,4.4106822738
1.567433,2.828342,4.433236586086
1.578387,2.794301,4.410488372486999
1.602904,2.743964,4.398310871456
1.626887,2.70696,4.40391803352
1.653643,2.656343,4.392643007549
1.670511,2.610955,4.361629048005001
1.683525,2.582144,4.3471039776
1.709658,2.545316,4.3516198619279995
1.748435,2.51316,4.3940969046
1.76219,2.473354,4.35851968526
1.774226,2.445183,4.338307253358001
1.788101,2.408404,4.306469600804
1.818784,2.379857,4.328445833888
1.832851,2.345392,4.298754072592
1.8476,2.319263,4.2850703188
1.875911,2.29709,4.30913639899
1.894751,2.269704,4.3005239237040005
1.909055,2.235696,4.26806662728
1.925701,2.214076,4.263648367276
1.942362,2.188163,4.250204661005999
1.978575,2.167239,4.288044904425
1.994035,2.151216,4.28959999656
2.003744,2.121115,4.25017145456
2.018255,2.097685,4.233663239675
2.0463,2.074815,4.2456939345
2.063243,2.061571,4.253521934753
2.089123,2.041399,4.2647336030770004
2.107548,2.022558,4.262638067784001
2.125706,2.000473,4.252417458938
2.140263,1.979477,4.236601382451
2.150105,1.966408,4.22798367284
2.168752,1.944123,4.216320644496
2.199198,1.928677,4.241542601046
2.211679,1.911116,4.226775123764001
2.221477,1.900666,4.222285803682
2.241606,1.878133,4.210034201598
2.263411,1.86323,4.21725527753
2.285645,1.849409,4.227092433805001
2.298244,1.8351,4.2175075644
2.320864,1.820069,4.224132619615999
2.332841,1.805728,4.2124763132480005
2.348376,1.791795,4.20780837492
2.371736,1.775731,4.211565139016
2.384781,1.765562,4.210478711922
2.397276,1.751684,4.199270012784001
2.42037,1.737759,4.20601975083
2.437239,1.723826,4.201375956414
2.452595,1.717212,4.21162556514
2.47686,1.705136,4.223383152959999
2.489059,1.690522,4.207808998798001
2.508092,1.677342,4.206928051464001
2.520543,1.669687,4.208517880041
2.533231,1.655193,4.192986218582999
2.560283,1.64749,4.21804063967
2.577967,1.633556,4.211253460652
2.585111,1.625525,4.202162558275
2.609466,1.615996,4.216886618136
2.626527,1.605249,4.216229840223
